accession	description
"SRR10418084"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418088"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418082"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418083"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418085"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418086"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418087"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418089"	"Sequel sequencing: Naja naja PacBio sequencing"
"SRR10418074"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10432648"	"Sequel sequencing: Naja naja Iso-Seq library"
"SRR10418070"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR1685662"	"Illumina HiSeq 2000 sequencing: Naja naja atra"
"SRR10418059"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418058"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418061"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418063"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418064"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418066"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418071"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418072"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418075"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10432646"	"Sequel sequencing: Naja naja Iso-Seq library"
"SRR10432647"	"Sequel sequencing: Naja naja Iso-Seq library"
"SRR10418060"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418062"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418065"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418067"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418068"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418069"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR10418073"	"PromethION sequencing: Naja naja ONT sequencing library"
"SRR14986189"	"Illumina HiSeq 2000 sequencing: RNA-seq of Naja naja"
"SRR10420850"	"Illumina HiSeq 2500 sequencing: Naja naja Dovetail Chicago sequencing Library"
"SRR10420851"	"Illumina HiSeq 2500 sequencing: Naja naja Dovetail Chicago sequencing Library"
"SRR10423798"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423800"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423802"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
